Emmet/Ivy Garage,EIG or EIG/S pass required 24/hrs,38.04182,-78.50789,1,EIG;EIG/S;Red;Blue;F*;E*;D*;Z*;X*;A*;L*;M*;W*;T*;R*;C*,0,0,24,0,24,0,24,0,24,0,24,0,24,0,24
Lambeth Field Parking,S2 pass required 8AM-5PM Mon-Fri.,38.04182,-78.50456,1,S2,0,8,17,8,17,8,17,8,17,8,17,24,24,24,24
Central Grounds Parking Garage-Newcomb/Brown Residential College,No pass required. Visitor parking only. Rates: 8AM-5PM Mon-Sat: $1/30 MIN; 5PM-10PM Mon-Sat: $1/HR; 8AM-10PM Sun: $0.70/HR; 10PM-8AM Mon-Sun: $1 flat rate,38.03639,-78.50754,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Astronomy Building/OHill/First Year Residence,W6 Permit required 8AM - 5PM Mon-Fri,38.03525,-78.51605,1,W6,0,8,17,8,17,8,17,8,17,8,17,24,24,24,24
Scott Stadium-Engineering School,T4/E3 Permit required 8AM - 5PM Mon-Fri,38.0311,-78.53311,1,T4;E3,0,8,17,8,17,8,17,8,17,8,17,24,24,24,24
Upper Hereford,S12/S9 Permit required 8AM - 5PM Mon-Fri,38.03114,-78.51928,1,S12;S9,0,8,17,8,17,8,17,8,17,8,17,24,24,24,24
Lower Hereford/Runk,S9/S16 Permit required 8AM - 5PM Mon-Fri,38.02871,-78.51977,1,S9;S16,0,8,17,8,17,8,17,8,17,8,17,24,24,24,24
Hancock Dr,S17 Permit required 24/hrs,38.03522,-78.51244,1,S17,0,0,24,0,24,0,24,0,24,0,24,0,24,0,24
Maintenance Parking Leake Dr,E1 Permit required 24/hrs,38.03637,-78.5149,1,E1,0,0,24,0,24,0,24,0,24,0,24,0,24,0,24
Zehmer Hall Parking,Z* Permit required 24/hrs,38.03866,-78.51702,1,Z*,0,0,24,0,24,0,24,0,24,0,24,0,24,0,24
Scott Stadium-Alderman Rd,S6/Red Permit Required 8AM-5PM Mon-Fri,38.03012,-78.51504,1,S6;Red,0,8,17,8,17,8,17,8,17,8,17,24,24,24,24
Alderman Rd @ Stadium Rd,S6 Permit Required 8AM-5PM Mon-Fri,38.02925,-78.51598,1,S6;Red,0,8,17,8,17,8,17,8,17,8,17,24,24,24,24
